IRL, T, +-, T-S, +-, K, +-, D/K, +-
234, 7.061E-19, 0.1%, 6.541E-19, 0.1%, 7.074E-19, 0.2%, 9.982E-01, 0.3%
235, 7.000E-19, 0.1%, 6.484E-19, 0.1%, 7.040E-19, 0.2%, 9.943E-01, 0.2%
236, 6.984E-19, 0.2%, 6.469E-19, 0.2%, 6.968E-19, 0.2%, 1.002E+00, 0.2%
237, 6.923E-19, 0.1%, 6.413E-19, 0.1%, 6.943E-19, 0.2%, 9.972E-01, 0.3%
238, 6.882E-19, 0.2%, 6.375E-19, 0.2%, 6.861E-19, 0.2%, 1.003E+00, 0.2%
239, 6.825E-19, 0.1%, 6.321E-19, 0.1%, 6.827E-19, 0.2%, 9.998E-01, 0.3%
240, 6.776E-19, 0.1%, 6.275E-19, 0.1%, 6.767E-19, 0.2%, 1.001E+00, 0.3%
241, 6.729E-19, 0.1%, 6.232E-19, 0.1%, 6.731E-19, 0.2%, 9.998E-01, 0.3%
242, 6.671E-19, 0.1%, 6.178E-19, 0.1%, 6.656E-19, 0.2%, 1.002E+00, 0.2%
243, 6.629E-19, 0.2%, 6.139E-19, 0.2%, 6.628E-19, 0.2%, 1.000E+00, 0.3%
244, 6.568E-19, 0.1%, 6.082E-19, 0.1%, 6.580E-19, 0.2%, 9.981E-01, 0.2%
245, 6.524E-19, 0.1%, 6.042E-19, 0.1%, 6.560E-19, 0.2%, 9.945E-01, 0.3%
246, 6.498E-19, 0.2%, 6.017E-19, 0.2%, 6.472E-19, 0.2%, 1.004E+00, 0.3%
247, 6.436E-19, 0.2%, 5.960E-19, 0.2%, 6.445E-19, 0.2%, 9.986E-01, 0.3%
248, 6.387E-19, 0.2%, 5.914E-19, 0.2%, 6.374E-19, 0.2%, 1.002E+00, 0.2%
249, 6.331E-19, 0.1%, 5.863E-19, 0.1%, 6.346E-19, 0.2%, 9.977E-01, 0.3%
250, 6.281E-19, 0.2%, 5.817E-19, 0.2%, 6.257E-19, 0.2%, 1.004E+00, 0.2%
251, 6.221E-19, 0.1%, 5.760E-19, 0.1%, 6.236E-19, 0.2%, 9.976E-01, 0.3%
252, 6.191E-19, 0.1%, 5.733E-19, 0.2%, 6.187E-19, 0.2%, 1.001E+00, 0.2%
253, 6.139E-19, 0.2%, 5.685E-19, 0.2%, 6.125E-19, 0.2%, 1.002E+00, 0.3%
254, 6.079E-19, 0.1%, 5.629E-19, 0.1%, 6.083E-19, 0.2%, 9.994E-01, 0.3%
255, 6.026E-19, 0.1%, 5.579E-19, 0.1%, 6.053E-19, 0.2%, 9.955E-01, 0.2%
256, 5.997E-19, 0.2%, 5.553E-19, 0.2%, 5.999E-19, 0.2%, 9.996E-01, 0.3%
257, 5.942E-19, 0.2%, 5.502E-19, 0.2%, 5.933E-19, 0.2%, 1.002E+00, 0.3%
258, 5.903E-19, 0.2%, 5.466E-19, 0.2%, 5.916E-19, 0.2%, 9.979E-01, 0.3%
259, 5.860E-19, 0.2%, 5.425E-19, 0.2%, 5.882E-19, 0.2%, 9.963E-01, 0.3%
260, 5.750E-19, 0.2%, 5.323E-19, 0.2%, 5.800E-19, 0.2%, 9.915E-01, 0.3%
261, 5.753E-19, 0.2%, 5.353E-19, 0.2%, 5.864E-19, 0.5%, 9.810E-01, 0.6%
262, 5.752E-19, 0.2%, 5.352E-19, 0.2%, 5.787E-19, 0.4%, 9.939E-01, 0.5%
