IZ, Param, IX=1, +/-, IX=2, +/-, IX=3, +/-, IX=4, +/-, IX=5, +/-, IX=6, +/-, IX=7, +/-, IX=8, +/-, IX=9, +/-, IX=10, +/-, IX=11, +/-, IX=12, +/-, IX=13, +/-, IX=14, +/-, IX=15, +/-, IX=16, +/-, IX=17, +/-, IX=18, +/-, IX=19, +/-, IX=20, +/-, IX=21, +/-, IX=22, +/-, IX=23, +/-, IX=24, +/-, IX=25, +/-, IX=26, +/-, IX=27, +/-, IX=28, +/-, IX=29, +/-, IX=30, +/-, IX=31, +/-, IX=32, +/-, IX=33, +/-, IX=34, +/-, IX=35, +/-, IX=36, +/-, IX=37, +/-, IX=38, +/-, IX=39, +/-, IX=40, +/-, IX=41, +/-, IX=42, +/-, IX=43, +/-, IX=44, +/-, IX=45, +/-, IX=46, +/-, IX=47, +/-, IX=48, +/-, IX=49, +/-, IX=50, +/-, IX=51, +/-, IX=52, +/-, IX=53, +/-, IX=54, +/-, IX=55, +/-, IX=56, +/-, IX=57, +/-, IX=58, +/-, IX=59, +/-, IX=60, +/-
14, DK, 2.813E-01, 51.5%, 2.148E-01, 31.6%, 3.058E-01, 29.5%, 4.641E-01, 28.4%, 3.334E-01, 23.1%, 3.414E-01, 21.1%, 4.130E-01, 18.8%, 3.318E-01, 16.7%, 2.730E-01, 14.2%, 3.068E-01, 15.0%, 3.469E-01, 14.2%, 2.640E-01, 12.6%, 3.383E-01, 13.0%, 3.826E-01, 13.0%, 4.018E-01, 13.4%, 3.016E-01, 11.9%, 3.548E-01, 12.2%, 3.856E-01, 12.1%, 3.462E-01, 11.5%, 4.079E-01, 12.9%, 3.300E-01, 11.0%, 3.626E-01, 11.2%, 3.616E-01, 11.0%, 4.266E-01, 12.6%, 4.119E-01, 11.9%, 3.975E-01, 11.8%, 3.591E-01, 11.7%, 3.626E-01, 12.0%, 3.668E-01, 12.1%, 5.025E-01, 12.6%, 3.845E-01, 11.6%, 4.646E-01, 13.0%, 4.151E-01, 12.7%, 5.810E-01, 14.4%, 4.519E-01, 13.7%, 4.610E-01, 14.8%, 5.168E-01, 15.3%, 5.875E-01, 17.5%, 5.724E-01, 15.7%, 9.790E-01, 19.9%, 6.755E-01, 17.9%, 1.030E+00, 20.1%, 1.103E+00, 25.0%, 1.919E+00, 27.9%, 1.185E+00, 28.2%, 1.735E+00, 32.4%, 2.079E+00, 32.6%, 8.526E+00, 55.2%, 3.030E+00, 46.3%, 2.641E+00, 47.7%, 2.071E+01, 81.0%, 6.374E+00, 53.2%, 1.168E+01, 55.9%, 1.232E+01, 45.0%, 1.471E+01, 92.5%, 3.989E+00, 51.8%, 2.549E+01, 86.2%, 1.697E+01, 64.2%, 1.305E+01, 76.5%, 2.015E+01, 97.9%
15, T, 2.779E-17, 2.4%, 2.761E-17, 1.6%, 2.765E-17, 1.3%, 2.780E-17, 1.1%, 2.762E-17, 1.0%, 2.709E-17, 0.9%, 2.706E-17, 0.8%, 2.710E-17, 0.8%, 2.690E-17, 0.7%, 2.638E-17, 0.7%, 2.585E-17, 0.7%, 2.546E-17, 0.6%, 2.518E-17, 0.6%, 2.467E-17, 0.6%, 2.447E-17, 0.6%, 2.400E-17, 0.6%, 2.347E-17, 0.6%, 2.292E-17, 0.5%, 2.238E-17, 0.5%, 2.172E-17, 0.5%, 2.117E-17, 0.5%, 2.065E-17, 0.5%, 1.995E-17, 0.5%, 1.933E-17, 0.5%, 1.870E-17, 0.5%, 1.815E-17, 0.5%, 1.754E-17, 0.5%, 1.683E-17, 0.5%, 1.622E-17, 0.5%, 1.550E-17, 0.5%, 1.485E-17, 0.5%, 1.416E-17, 0.5%, 1.357E-17, 0.5%, 1.283E-17, 0.5%, 1.228E-17, 0.5%, 1.166E-17, 0.5%, 1.102E-17, 0.5%, 1.050E-17, 0.5%, 9.868E-18, 0.5%, 9.354E-18, 0.5%, 8.738E-18, 0.5%, 8.283E-18, 0.5%, 7.787E-18, 0.5%, 7.298E-18, 0.5%, 6.882E-18, 0.5%, 6.514E-18, 0.6%, 6.122E-18, 0.6%, 5.766E-18, 0.6%, 5.413E-18, 0.6%, 5.169E-18, 0.6%, 4.896E-18, 0.6%, 4.612E-18, 0.6%, 4.391E-18, 0.6%, 4.152E-18, 0.6%, 3.911E-18, 0.6%, 3.659E-18, 0.6%, 3.463E-18, 0.6%, 3.261E-18, 0.6%, 3.048E-18, 0.6%, 2.735E-18, 0.6%
15, TS, 2.597E-17, 2.3%, 2.578E-17, 1.6%, 2.580E-17, 1.3%, 2.596E-17, 1.1%, 2.578E-17, 1.0%, 2.529E-17, 0.9%, 2.526E-17, 0.8%, 2.529E-17, 0.8%, 2.510E-17, 0.7%, 2.462E-17, 0.7%, 2.413E-17, 0.7%, 2.378E-17, 0.6%, 2.351E-17, 0.6%, 2.303E-17, 0.6%, 2.284E-17, 0.6%, 2.240E-17, 0.6%, 2.191E-17, 0.6%, 2.140E-17, 0.5%, 2.089E-17, 0.5%, 2.027E-17, 0.5%, 1.976E-17, 0.5%, 1.928E-17, 0.5%, 1.863E-17, 0.5%, 1.804E-17, 0.5%, 1.746E-17, 0.5%, 1.695E-17, 0.5%, 1.637E-17, 0.5%, 1.571E-17, 0.5%, 1.514E-17, 0.5%, 1.448E-17, 0.5%, 1.387E-17, 0.5%, 1.322E-17, 0.5%, 1.267E-17, 0.5%, 1.198E-17, 0.5%, 1.147E-17, 0.5%, 1.088E-17, 0.5%, 1.029E-17, 0.5%, 9.805E-18, 0.5%, 9.213E-18, 0.5%, 8.734E-18, 0.5%, 8.162E-18, 0.5%, 7.738E-18, 0.5%, 7.272E-18, 0.5%, 6.819E-18, 0.5%, 6.431E-18, 0.5%, 6.085E-18, 0.6%, 5.721E-18, 0.6%, 5.388E-18, 0.6%, 5.058E-18, 0.6%, 4.829E-18, 0.6%, 4.574E-18, 0.6%, 4.310E-18, 0.6%, 4.104E-18, 0.6%, 3.881E-18, 0.6%, 3.656E-18, 0.6%, 3.419E-18, 0.6%, 3.237E-18, 0.6%, 3.048E-18, 0.6%, 2.851E-18, 0.6%, 2.560E-18, 0.6%
15, K, 7.816E-17, 10.1%, 8.560E-17, 5.6%, 8.552E-17, 4.5%, 7.876E-17, 3.9%, 7.899E-17, 3.3%, 7.815E-17, 3.1%, 7.941E-17, 2.8%, 7.974E-17, 2.6%, 7.473E-17, 2.5%, 7.549E-17, 2.4%, 7.611E-17, 2.3%, 7.556E-17, 2.2%, 7.400E-17, 2.1%, 7.103E-17, 2.0%, 7.123E-17, 2.0%, 6.795E-17, 2.0%, 6.782E-17, 1.9%, 6.484E-17, 1.9%, 6.207E-17, 1.9%, 6.152E-17, 1.8%, 5.903E-17, 1.8%, 5.661E-17, 1.8%, 5.381E-17, 1.8%, 5.183E-17, 1.8%, 5.119E-17, 1.8%, 4.685E-17, 1.9%, 4.578E-17, 1.8%, 4.347E-17, 1.9%, 3.917E-17, 1.9%, 3.666E-17, 1.9%, 3.456E-17, 2.0%, 3.201E-17, 2.0%, 3.009E-17, 2.0%, 2.764E-17, 2.1%, 2.443E-17, 2.2%, 2.165E-17, 2.3%, 1.941E-17, 2.4%, 1.731E-17, 2.5%, 1.514E-17, 2.6%, 1.240E-17, 2.9%, 1.127E-17, 3.0%, 9.594E-18, 3.2%, 8.168E-18, 3.4%, 6.474E-18, 3.8%, 5.368E-18, 4.2%, 4.213E-18, 4.6%, 3.285E-18, 5.1%, 2.498E-18, 5.8%, 2.028E-18, 6.4%, 1.488E-18, 7.3%, 1.255E-18, 7.8%, 7.954E-19, 9.1%, 7.313E-19, 9.1%, 5.933E-19, 10.1%, 4.734E-19, 10.6%, 3.509E-19, 11.4%, 3.419E-19, 11.0%, 2.968E-19, 11.0%, 2.548E-19, 10.9%, 2.931E-19, 10.2%
15, DK, 3.555E-01, 10.4%, 3.226E-01, 5.8%, 3.233E-01, 4.6%, 3.530E-01, 4.0%, 3.497E-01, 3.5%, 3.466E-01, 3.2%, 3.408E-01, 2.9%, 3.398E-01, 2.7%, 3.600E-01, 2.6%, 3.494E-01, 2.5%, 3.396E-01, 2.4%, 3.370E-01, 2.3%, 3.403E-01, 2.2%, 3.474E-01, 2.1%, 3.436E-01, 2.1%, 3.531E-01, 2.0%, 3.460E-01, 2.0%, 3.536E-01, 2.0%, 3.606E-01, 2.0%, 3.530E-01, 1.9%, 3.587E-01, 1.9%, 3.648E-01, 1.9%, 3.707E-01, 1.9%, 3.730E-01, 1.9%, 3.653E-01, 1.9%, 3.874E-01, 1.9%, 3.831E-01, 1.9%, 3.871E-01, 1.9%, 4.141E-01, 2.0%, 4.229E-01, 2.0%, 4.297E-01, 2.0%, 4.424E-01, 2.1%, 4.508E-01, 2.1%, 4.644E-01, 2.2%, 5.026E-01, 2.3%, 5.384E-01, 2.4%, 5.680E-01, 2.5%, 6.066E-01, 2.6%, 6.519E-01, 2.7%, 7.541E-01, 2.9%, 7.751E-01, 3.0%, 8.634E-01, 3.2%, 9.534E-01, 3.5%, 1.127E+00, 3.9%, 1.282E+00, 4.2%, 1.546E+00, 4.6%, 1.864E+00, 5.1%, 2.309E+00, 5.9%, 2.669E+00, 6.5%, 3.473E+00, 7.3%, 3.900E+00, 7.9%, 5.798E+00, 9.1%, 6.004E+00, 9.1%, 6.999E+00, 10.1%, 8.262E+00, 10.6%, 1.043E+01, 11.4%, 1.013E+01, 11.0%, 1.098E+01, 11.1%, 1.196E+01, 10.9%, 9.332E+00, 10.2%
17, T, 5.201E-17, 2.0%, 5.206E-17, 1.3%, 5.244E-17, 1.1%, 5.244E-17, 0.9%, 5.214E-17, 0.8%, 5.118E-17, 0.7%, 5.019E-17, 0.7%, 5.019E-17, 0.6%, 4.982E-17, 0.6%, 4.946E-17, 0.6%, 4.877E-17, 0.6%, 4.837E-17, 0.5%, 4.744E-17, 0.5%, 4.662E-17, 0.5%, 4.589E-17, 0.5%, 4.479E-17, 0.5%, 4.392E-17, 0.5%, 4.247E-17, 0.5%, 4.149E-17, 0.4%, 4.025E-17, 0.4%, 3.923E-17, 0.4%, 3.782E-17, 0.4%, 3.643E-17, 0.4%, 3.494E-17, 0.4%, 3.344E-17, 0.4%, 3.227E-17, 0.4%, 3.081E-17, 0.4%, 2.963E-17, 0.4%, 2.833E-17, 0.4%, 2.688E-17, 0.4%, 2.535E-17, 0.4%, 2.409E-17, 0.4%, 2.247E-17, 0.4%, 2.110E-17, 0.5%, 1.987E-17, 0.5%, 1.864E-17, 0.5%, 1.737E-17, 0.5%, 1.613E-17, 0.5%, 1.486E-17, 0.5%, 1.357E-17, 0.5%, 1.254E-17, 0.5%, 1.138E-17, 0.5%, 1.043E-17, 0.5%, 9.523E-18, 0.6%, 8.786E-18, 0.6%, 7.914E-18, 0.6%, 7.213E-18, 0.6%, 6.595E-18, 0.6%, 5.961E-18, 0.6%, 5.444E-18, 0.7%, 4.938E-18, 0.7%, 4.527E-18, 0.7%, 4.147E-18, 0.7%, 3.815E-18, 0.7%, 3.510E-18, 0.7%, 3.194E-18, 0.8%, 2.969E-18, 0.8%, 2.726E-18, 0.8%, 2.425E-18, 0.8%, 2.078E-18, 0.8%
17, TS, 4.852E-17, 2.0%, 4.857E-17, 1.3%, 4.891E-17, 1.1%, 4.892E-17, 0.9%, 4.863E-17, 0.8%, 4.774E-17, 0.7%, 4.682E-17, 0.7%, 4.682E-17, 0.6%, 4.647E-17, 0.6%, 4.614E-17, 0.6%, 4.549E-17, 0.6%, 4.513E-17, 0.5%, 4.425E-17, 0.5%, 4.349E-17, 0.5%, 4.281E-17, 0.5%, 4.179E-17, 0.5%, 4.097E-17, 0.5%, 3.962E-17, 0.5%, 3.870E-17, 0.4%, 3.755E-17, 0.4%, 3.659E-17, 0.4%, 3.529E-17, 0.4%, 3.398E-17, 0.4%, 3.260E-17, 0.4%, 3.120E-17, 0.4%, 3.011E-17, 0.4%, 2.875E-17, 0.4%, 2.764E-17, 0.4%, 2.643E-17, 0.4%, 2.507E-17, 0.4%, 2.365E-17, 0.4%, 2.247E-17, 0.4%, 2.096E-17, 0.4%, 1.969E-17, 0.5%, 1.854E-17, 0.5%, 1.739E-17, 0.5%, 1.621E-17, 0.5%, 1.505E-17, 0.5%, 1.386E-17, 0.5%, 1.267E-17, 0.5%, 1.170E-17, 0.5%, 1.062E-17, 0.5%, 9.728E-18, 0.5%, 8.885E-18, 0.6%, 8.201E-18, 0.6%, 7.385E-18, 0.6%, 6.731E-18, 0.6%, 6.155E-18, 0.6%, 5.565E-18, 0.6%, 5.081E-18, 0.7%, 4.609E-18, 0.7%, 4.227E-18, 0.7%, 3.872E-18, 0.7%, 3.561E-18, 0.7%, 3.276E-18, 0.7%, 2.982E-18, 0.8%, 2.772E-18, 0.8%, 2.544E-18, 0.8%, 2.264E-18, 0.8%, 1.941E-18, 0.8%
17, K, 7.979E-17, 6.7%, 7.898E-17, 3.9%, 7.787E-17, 3.1%, 7.722E-17, 2.6%, 7.888E-17, 2.3%, 7.564E-17, 2.1%, 7.367E-17, 1.9%, 7.305E-17, 1.8%, 7.527E-17, 1.7%, 7.506E-17, 1.6%, 7.277E-17, 1.5%, 7.267E-17, 1.5%, 7.072E-17, 1.4%, 6.957E-17, 1.4%, 6.910E-17, 1.3%, 6.734E-17, 1.3%, 6.300E-17, 1.3%, 6.321E-17, 1.3%, 6.115E-17, 1.3%, 5.906E-17, 1.3%, 5.765E-17, 1.2%, 5.258E-17, 1.3%, 5.236E-17, 1.2%, 4.976E-17, 1.2%, 4.755E-17, 1.2%, 4.487E-17, 1.3%, 4.253E-17, 1.3%, 4.106E-17, 1.3%, 3.875E-17, 1.3%, 3.598E-17, 1.3%, 3.419E-17, 1.3%, 3.205E-17, 1.3%, 2.942E-17, 1.4%, 2.695E-17, 1.4%, 2.492E-17, 1.4%, 2.253E-17, 1.5%, 1.993E-17, 1.6%, 1.741E-17, 1.7%, 1.569E-17, 1.7%, 1.364E-17, 1.8%, 1.216E-17, 1.9%, 9.730E-18, 2.1%, 8.601E-18, 2.2%, 7.019E-18, 2.4%, 6.005E-18, 2.6%, 5.068E-18, 2.7%, 3.888E-18, 3.2%, 3.126E-18, 3.4%, 2.392E-18, 3.7%, 1.827E-18, 4.2%, 1.493E-18, 4.6%, 1.093E-18, 5.2%, 9.111E-19, 5.3%, 6.555E-19, 6.0%, 5.133E-19, 6.1%, 4.880E-19, 6.3%, 3.965E-19, 6.4%, 3.581E-19, 6.9%, 3.522E-19, 6.2%, 3.322E-19, 6.0%
17, DK, 6.519E-01, 7.0%, 6.592E-01, 4.1%, 6.734E-01, 3.2%, 6.791E-01, 2.7%, 6.611E-01, 2.4%, 6.767E-01, 2.2%, 6.813E-01, 2.1%, 6.870E-01, 1.9%, 6.620E-01, 1.8%, 6.590E-01, 1.7%, 6.701E-01, 1.6%, 6.657E-01, 1.6%, 6.709E-01, 1.5%, 6.701E-01, 1.5%, 6.641E-01, 1.4%, 6.652E-01, 1.4%, 6.972E-01, 1.4%, 6.719E-01, 1.3%, 6.784E-01, 1.3%, 6.816E-01, 1.3%, 6.804E-01, 1.3%, 7.193E-01, 1.3%, 6.958E-01, 1.3%, 7.023E-01, 1.3%, 7.033E-01, 1.3%, 7.192E-01, 1.3%, 7.246E-01, 1.3%, 7.216E-01, 1.3%, 7.310E-01, 1.4%, 7.469E-01, 1.4%, 7.416E-01, 1.4%, 7.515E-01, 1.4%, 7.637E-01, 1.4%, 7.831E-01, 1.5%, 7.974E-01, 1.5%, 8.271E-01, 1.6%, 8.715E-01, 1.6%, 9.263E-01, 1.7%, 9.466E-01, 1.8%, 9.954E-01, 1.9%, 1.031E+00, 2.0%, 1.170E+00, 2.2%, 1.212E+00, 2.3%, 1.357E+00, 2.5%, 1.463E+00, 2.6%, 1.561E+00, 2.8%, 1.855E+00, 3.2%, 2.110E+00, 3.5%, 2.493E+00, 3.8%, 2.980E+00, 4.3%, 3.306E+00, 4.7%, 4.143E+00, 5.2%, 4.552E+00, 5.3%, 5.821E+00, 6.0%, 6.838E+00, 6.2%, 6.545E+00, 6.4%, 7.489E+00, 6.5%, 7.612E+00, 7.0%, 6.885E+00, 6.3%, 6.255E+00, 6.0%
16, T, 3.634E-17, 9.5%, 3.355E-17, 6.0%, 3.190E-17, 4.8%, 3.477E-17, 3.9%, 3.487E-17, 3.4%, 3.419E-17, 3.1%, 3.295E-17, 2.9%, 3.123E-17, 2.8%, 3.144E-17, 2.6%, 3.099E-17, 2.5%, 3.166E-17, 2.3%, 3.113E-17, 2.2%, 3.047E-17, 2.2%, 3.017E-17, 2.1%, 2.963E-17, 2.0%, 2.968E-17, 2.0%, 2.861E-17, 2.0%, 2.816E-17, 1.9%, 2.804E-17, 1.9%, 2.665E-17, 1.9%, 2.616E-17, 1.8%, 2.563E-17, 1.8%, 2.415E-17, 1.8%, 2.321E-17, 1.8%, 2.269E-17, 1.8%, 2.217E-17, 1.8%, 2.119E-17, 1.8%, 2.019E-17, 1.8%, 1.892E-17, 1.8%, 1.777E-17, 1.8%, 1.746E-17, 1.8%, 1.659E-17, 1.8%, 1.616E-17, 1.8%, 1.477E-17, 1.8%, 1.439E-17, 1.9%, 1.336E-17, 1.9%, 1.238E-17, 1.9%, 1.181E-17, 1.9%, 1.080E-17, 2.0%, 1.024E-17, 2.1%, 9.475E-18, 2.1%, 8.902E-18, 2.1%, 8.203E-18, 2.2%, 7.747E-18, 2.2%, 7.389E-18, 2.2%, 6.827E-18, 2.3%, 6.436E-18, 2.3%, 6.130E-18, 2.4%, 5.558E-18, 2.4%, 5.383E-18, 2.4%, 5.202E-18, 2.4%, 4.769E-18, 2.5%, 4.489E-18, 2.6%, 4.150E-18, 2.6%, 3.850E-18, 2.7%, 3.650E-18, 2.8%, 3.386E-18, 2.7%, 3.256E-18, 2.7%, 3.048E-18, 2.7%, 2.627E-18, 2.7%
16, TS, 3.373E-17, 9.5%, 3.130E-17, 6.0%, 2.972E-17, 4.8%, 3.238E-17, 3.9%, 3.248E-17, 3.4%, 3.186E-17, 3.1%, 3.073E-17, 2.9%, 2.910E-17, 2.8%, 2.931E-17, 2.6%, 2.891E-17, 2.5%, 2.950E-17, 2.3%, 2.900E-17, 2.2%, 2.839E-17, 2.2%, 2.814E-17, 2.1%, 2.761E-17, 2.0%, 2.765E-17, 2.0%, 2.665E-17, 2.0%, 2.627E-17, 1.9%, 2.613E-17, 1.8%, 2.483E-17, 1.9%, 2.439E-17, 1.8%, 2.389E-17, 1.8%, 2.252E-17, 1.8%, 2.162E-17, 1.8%, 2.115E-17, 1.8%, 2.066E-17, 1.7%, 1.976E-17, 1.7%, 1.882E-17, 1.8%, 1.763E-17, 1.8%, 1.656E-17, 1.8%, 1.628E-17, 1.8%, 1.545E-17, 1.8%, 1.507E-17, 1.8%, 1.379E-17, 1.8%, 1.342E-17, 1.9%, 1.247E-17, 1.9%, 1.155E-17, 1.9%, 1.101E-17, 1.9%, 1.008E-17, 2.0%, 9.548E-18, 2.0%, 8.836E-18, 2.1%, 8.295E-18, 2.1%, 7.661E-18, 2.1%, 7.226E-18, 2.1%, 6.889E-18, 2.2%, 6.378E-18, 2.2%, 6.009E-18, 2.3%, 5.718E-18, 2.4%, 5.190E-18, 2.4%, 5.031E-18, 2.4%, 4.853E-18, 2.4%, 4.443E-18, 2.5%, 4.193E-18, 2.6%, 3.873E-18, 2.6%, 3.594E-18, 2.6%, 3.407E-18, 2.7%, 3.161E-18, 2.7%, 3.043E-18, 2.7%, 2.844E-18, 2.7%, 2.458E-18, 2.7%
16, K, 1.109E-16, 25.8%, 8.819E-17, 16.1%, 8.182E-17, 13.0%, 6.665E-17, 12.4%, 7.903E-17, 9.8%, 8.658E-17, 8.5%, 8.124E-17, 7.8%, 7.753E-17, 7.8%, 7.610E-17, 7.6%, 7.837E-17, 6.9%, 6.708E-17, 6.6%, 7.182E-17, 6.3%, 7.100E-17, 6.2%, 7.542E-17, 5.9%, 7.086E-17, 5.7%, 6.883E-17, 5.8%, 6.582E-17, 5.6%, 5.952E-17, 5.6%, 6.767E-17, 5.2%, 5.744E-17, 5.4%, 6.095E-17, 5.2%, 6.045E-17, 5.0%, 5.506E-17, 5.3%, 5.167E-17, 5.3%, 4.571E-17, 5.4%, 4.686E-17, 5.4%, 4.383E-17, 5.4%, 4.030E-17, 5.5%, 3.798E-17, 5.6%, 3.331E-17, 5.6%, 3.857E-17, 5.5%, 2.959E-17, 5.9%, 3.126E-17, 5.8%, 2.893E-17, 6.0%, 2.448E-17, 6.6%, 2.246E-17, 6.4%, 2.120E-17, 6.7%, 1.917E-17, 6.8%, 1.541E-17, 7.3%, 1.373E-17, 7.9%, 1.188E-17, 8.3%, 8.610E-18, 9.5%, 7.349E-18, 10.7%, 6.940E-18, 10.6%, 6.455E-18, 11.2%, 5.416E-18, 12.1%, 4.143E-18, 13.3%, 2.220E-18, 16.6%, 2.543E-18, 17.0%, 1.582E-18, 21.7%, 1.335E-18, 21.2%, 1.092E-18, 22.8%, 4.996E-19, 29.1%, 7.755E-19, 24.8%, 6.108E-19, 29.3%, 4.780E-19, 30.2%, 4.608E-19, 26.0%, 3.861E-19, 32.4%, 3.055E-19, 28.0%, 1.301E-19, 32.3%
16, DK, 3.278E-01, 27.5%, 3.804E-01, 17.2%, 3.898E-01, 13.8%, 5.217E-01, 13.0%, 4.412E-01, 10.4%, 3.949E-01, 9.0%, 4.055E-01, 8.3%, 4.029E-01, 8.3%, 4.131E-01, 8.0%, 3.954E-01, 7.3%, 4.719E-01, 7.0%, 4.334E-01, 6.7%, 4.292E-01, 6.5%, 4.000E-01, 6.2%, 4.181E-01, 6.1%, 4.313E-01, 6.1%, 4.347E-01, 5.9%, 4.732E-01, 6.0%, 4.143E-01, 5.5%, 4.639E-01, 5.7%, 4.292E-01, 5.5%, 4.240E-01, 5.3%, 4.387E-01, 5.6%, 4.491E-01, 5.6%, 4.964E-01, 5.7%, 4.731E-01, 5.6%, 4.834E-01, 5.7%, 5.010E-01, 5.8%, 4.981E-01, 5.8%, 5.333E-01, 5.9%, 4.527E-01, 5.8%, 5.606E-01, 6.2%, 5.169E-01, 6.0%, 5.106E-01, 6.2%, 5.879E-01, 6.9%, 5.948E-01, 6.6%, 5.843E-01, 7.0%, 6.162E-01, 7.1%, 7.010E-01, 7.6%, 7.461E-01, 8.1%, 7.977E-01, 8.6%, 1.034E+00, 9.7%, 1.116E+00, 10.9%, 1.116E+00, 10.8%, 1.145E+00, 11.4%, 1.261E+00, 12.3%, 1.553E+00, 13.5%, 2.762E+00, 16.8%, 2.185E+00, 17.2%, 3.403E+00, 21.8%, 3.897E+00, 21.3%, 4.368E+00, 22.9%, 8.987E+00, 29.2%, 5.352E+00, 25.0%, 6.303E+00, 29.4%, 7.638E+00, 30.3%, 7.349E+00, 26.1%, 8.435E+00, 32.6%, 9.977E+00, 28.2%, 2.020E+01, 32.5%
19, T, 4.806E-17, 2.0%, 4.659E-17, 1.4%, 4.684E-17, 1.1%, 4.656E-17, 0.9%, 4.667E-17, 0.8%, 4.650E-17, 0.8%, 4.649E-17, 0.7%, 4.614E-17, 0.6%, 4.590E-17, 0.6%, 4.564E-17, 0.6%, 4.493E-17, 0.6%, 4.427E-17, 0.5%, 4.304E-17, 0.5%, 4.248E-17, 0.5%, 4.181E-17, 0.5%, 4.099E-17, 0.5%, 4.003E-17, 0.5%, 3.909E-17, 0.5%, 3.794E-17, 0.5%, 3.695E-17, 0.4%, 3.599E-17, 0.4%, 3.483E-17, 0.4%, 3.370E-17, 0.4%, 3.256E-17, 0.4%, 3.149E-17, 0.4%, 3.027E-17, 0.4%, 2.897E-17, 0.4%, 2.786E-17, 0.4%, 2.665E-17, 0.4%, 2.567E-17, 0.4%, 2.438E-17, 0.4%, 2.313E-17, 0.4%, 2.181E-17, 0.4%, 2.064E-17, 0.4%, 1.944E-17, 0.4%, 1.836E-17, 0.5%, 1.710E-17, 0.5%, 1.604E-17, 0.5%, 1.495E-17, 0.5%, 1.379E-17, 0.5%, 1.271E-17, 0.5%, 1.181E-17, 0.5%, 1.078E-17, 0.5%, 9.906E-18, 0.5%, 9.112E-18, 0.5%, 8.360E-18, 0.6%, 7.711E-18, 0.6%, 7.036E-18, 0.6%, 6.439E-18, 0.6%, 5.911E-18, 0.6%, 5.431E-18, 0.6%, 4.934E-18, 0.6%, 4.542E-18, 0.7%, 4.211E-18, 0.7%, 3.815E-18, 0.7%, 3.486E-18, 0.7%, 3.224E-18, 0.7%, 2.933E-18, 0.7%, 2.622E-18, 0.7%, 2.214E-18, 0.7%
19, TS, 4.485E-17, 2.0%, 4.348E-17, 1.4%, 4.370E-17, 1.1%, 4.344E-17, 0.9%, 4.356E-17, 0.8%, 4.338E-17, 0.7%, 4.338E-17, 0.7%, 4.306E-17, 0.6%, 4.284E-17, 0.6%, 4.259E-17, 0.6%, 4.193E-17, 0.6%, 4.131E-17, 0.5%, 4.016E-17, 0.5%, 3.965E-17, 0.5%, 3.901E-17, 0.5%, 3.825E-17, 0.5%, 3.736E-17, 0.5%, 3.648E-17, 0.5%, 3.541E-17, 0.5%, 3.449E-17, 0.4%, 3.358E-17, 0.4%, 3.250E-17, 0.4%, 3.145E-17, 0.4%, 3.039E-17, 0.4%, 2.939E-17, 0.4%, 2.825E-17, 0.4%, 2.704E-17, 0.4%, 2.600E-17, 0.4%, 2.487E-17, 0.4%, 2.396E-17, 0.4%, 2.275E-17, 0.4%, 2.158E-17, 0.4%, 2.036E-17, 0.4%, 1.926E-17, 0.4%, 1.814E-17, 0.4%, 1.713E-17, 0.5%, 1.596E-17, 0.5%, 1.497E-17, 0.5%, 1.395E-17, 0.5%, 1.287E-17, 0.5%, 1.186E-17, 0.5%, 1.102E-17, 0.5%, 1.006E-17, 0.5%, 9.247E-18, 0.5%, 8.504E-18, 0.5%, 7.805E-18, 0.6%, 7.197E-18, 0.6%, 6.567E-18, 0.6%, 6.010E-18, 0.6%, 5.517E-18, 0.6%, 5.069E-18, 0.6%, 4.605E-18, 0.6%, 4.240E-18, 0.7%, 3.930E-18, 0.7%, 3.561E-18, 0.7%, 3.255E-18, 0.7%, 3.009E-18, 0.7%, 2.738E-18, 0.7%, 2.448E-18, 0.7%, 2.068E-18, 0.7%
