IRL, Te-, +-, E1, +-, Tph, +-, E2, +-, Te+, +-, E3, +-, Pe-, +-, E4, +-, Pph, +-, E5, +-, Pe+, +-, E6, +-
317, 7.890E-11, 1.3%, 1.001E+00, 0.8%, 6.019E-09, 0.4%, 1.184E+00, 0.3%, 1.353E-12, 11.0%, 9.997E-01, 3.4%, 7.446E-11, 1.3%, 1.050E+00, 0.8%, 5.913E-09, 0.4%, 1.200E+00, 0.3%, 1.353E-12, 11.0%, 9.998E-01, 3.4%
318, 7.920E-11, 1.3%, 9.849E-01, 0.7%, 5.960E-09, 0.4%, 1.185E+00, 0.3%, 1.155E-12, 8.4%, 9.998E-01, 3.6%, 7.468E-11, 1.3%, 1.034E+00, 0.7%, 5.854E-09, 0.4%, 1.201E+00, 0.3%, 1.155E-12, 8.4%, 9.998E-01, 3.6%
319, 7.766E-11, 1.3%, 9.841E-01, 0.8%, 5.905E-09, 0.4%, 1.185E+00, 0.3%, 1.136E-12, 8.1%, 1.069E+00, 5.7%, 7.315E-11, 1.3%, 1.034E+00, 0.8%, 5.800E-09, 0.4%, 1.201E+00, 0.3%, 1.136E-12, 8.1%, 1.069E+00, 5.7%
320, 7.643E-11, 1.3%, 9.857E-01, 0.8%, 5.845E-09, 0.4%, 1.187E+00, 0.3%, 1.100E-12, 7.6%, 1.088E+00, 5.8%, 7.224E-11, 1.3%, 1.033E+00, 0.8%, 5.741E-09, 0.4%, 1.203E+00, 0.3%, 1.100E-12, 7.6%, 1.088E+00, 5.8%
321, 7.484E-11, 1.2%, 9.972E-01, 0.8%, 5.775E-09, 0.4%, 1.190E+00, 0.3%, 1.120E-12, 9.8%, 1.109E+00, 3.5%, 7.071E-11, 1.2%, 1.046E+00, 0.8%, 5.673E-09, 0.4%, 1.206E+00, 0.3%, 1.120E-12, 9.8%, 1.109E+00, 3.5%
322, 7.333E-11, 1.2%, 9.998E-01, 0.7%, 5.704E-09, 0.4%, 1.193E+00, 0.3%, 1.250E-12, 10.1%, 1.003E+00, 4.3%, 6.916E-11, 1.2%, 1.049E+00, 0.8%, 5.602E-09, 0.4%, 1.209E+00, 0.3%, 1.250E-12, 10.1%, 1.003E+00, 4.3%
323, 7.425E-11, 1.3%, 9.861E-01, 0.7%, 5.644E-09, 0.4%, 1.194E+00, 0.3%, 1.080E-12, 7.4%, 1.015E+00, 4.2%, 7.000E-11, 1.3%, 1.036E+00, 0.7%, 5.545E-09, 0.4%, 1.210E+00, 0.3%, 1.080E-12, 7.4%, 1.015E+00, 4.2%
324, 7.304E-11, 1.3%, 9.968E-01, 0.8%, 5.579E-09, 0.4%, 1.197E+00, 0.3%, 1.055E-12, 8.1%, 1.041E+00, 3.5%, 6.909E-11, 1.3%, 1.044E+00, 0.8%, 5.481E-09, 0.4%, 1.213E+00, 0.3%, 1.055E-12, 8.1%, 1.041E+00, 3.5%
325, 7.293E-11, 1.3%, 9.995E-01, 0.8%, 5.522E-09, 0.4%, 1.199E+00, 0.3%, 1.060E-12, 8.7%, 1.056E+00, 3.8%, 6.892E-11, 1.3%, 1.048E+00, 0.8%, 5.425E-09, 0.4%, 1.215E+00, 0.3%, 1.060E-12, 8.7%, 1.056E+00, 3.8%
326, 7.290E-11, 1.3%, 9.931E-01, 0.8%, 5.470E-09, 0.5%, 1.200E+00, 0.3%, 1.032E-12, 7.8%, 1.105E+00, 3.5%, 6.876E-11, 1.3%, 1.043E+00, 0.8%, 5.373E-09, 0.4%, 1.216E+00, 0.3%, 1.032E-12, 7.8%, 1.105E+00, 3.5%
327, 7.100E-11, 1.3%, 1.003E+00, 0.8%, 5.407E-09, 0.4%, 1.203E+00, 0.3%, 1.041E-12, 8.5%, 1.056E+00, 2.8%, 6.699E-11, 1.3%, 1.052E+00, 0.8%, 5.310E-09, 0.4%, 1.219E+00, 0.3%, 1.041E-12, 8.5%, 1.057E+00, 2.8%
328, 7.115E-11, 1.3%, 9.950E-01, 0.8%, 5.339E-09, 0.4%, 1.207E+00, 0.3%, 1.062E-12, 8.5%, 9.928E-01, 4.3%, 6.717E-11, 1.3%, 1.044E+00, 0.8%, 5.242E-09, 0.4%, 1.224E+00, 0.3%, 1.062E-12, 8.5%, 9.928E-01, 4.3%
329, 5.878E-11, 0.7%, 1.004E+00, 0.3%, 4.065E-09, 0.4%, 1.309E+00, 0.3%, 9.092E-13, 2.7%, 1.087E+00, 1.2%, 5.544E-11, 0.7%, 1.054E+00, 0.3%, 3.993E-09, 0.4%, 1.326E+00, 0.3%, 9.092E-13, 2.7%, 1.087E+00, 1.2%
